,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
4251,House,Private room,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,1,1.0,581,0,1
4252,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,2,1.0,502,0,1
4253,Apartment,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,6,3.0,3.0,0,1.5,1201,0,6
4254,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,4,1.0,3.0,0,1.0,39,10,2
4256,Condominium,Entire home/apt,Real Bed,5,28,super_strict_60,2019-03-06 05:00:00,2019-03-06 05:00:00,6,2.0,2.0,0,2.0,423,0,6
4257,House,Shared room,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,0,1.0,157,0,1
4258,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,9,2.0,6.0,0,2.0,129,0,1
4259,Guest suite,Entire home/apt,Real Bed,3,10,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,2.0,2.0,0,1.0,100,50,4
4260,Loft,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,0.0,2.0,0,1.0,597,0,1
4261,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,3.0,0,1.5,754,75,3
4262,Apartment,Private room,Real Bed,30,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,3,2.0,2.0,0,1.0,37,0,1
4263,Condominium,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,5,2.0,3.0,0,2.0,149,20,4
4264,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,1,1.0,1.0,0,1.0,60,0,1
4265,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,0,1.0,746,0,1
4266,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,0,1.0,35,0,1
4267,Loft,Private room,Real Bed,4,30,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,14,1.0,125,35,2
4268,Apartment,Private room,Real Bed,3,365,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,2.0,25,1.5,274,107,2
4269,Casa particular (Cuba),Private room,Real Bed,3,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,2,1.0,56,0,1
4270,Condominium,Entire home/apt,Real Bed,1,1125,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,2,0.0,1.0,533,1.0,124,0,1
4271,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,6,3.0,4.0,0,3.0,3544,0,1
